Gene	Chromosome	Start	End	Expression_Breadth	Description	GO_Term	GO_Function
MRPL35	chr2	86280066	86293988	18	mitochondrial ribosomal protein L35	0006412	translation
MRPL37	chr1	54438427	54456644	18	mitochondrial ribosomal protein L37	0003735	structural constituent of ribosome
MRPL44	chr2	224530364	224540675	18	mitochondrial ribosomal protein L44	0006396	RNA processing
MRPL49	chr11	64646303	64651417	18	mitochondrial ribosomal protein L49	0005575	cellular_component
MRPL9	chr1	149998746	150002664	18	mitochondrial ribosomal protein L9	0006412	translation
MRPS10	chr6	42282516	42293611	18	mitochondrial ribosomal protein S10	0005622	intracellular
MRPS14	chr1	173249750	173259184	18	mitochondrial ribosomal protein S14	0003735	structural constituent of ribosome
MRPS18B	chr6	30693464	30702153	18	mitochondrial ribosomal protein S18B	0006412	translation
MRPS18C	chr4	84596141	84601953	18	mitochondrial ribosomal protein S18C	0005840	ribosome
MRPS21	chr1	148532892	148547443	18	mitochondrial ribosomal protein S21	0005763	mitochondrial small ribosomal subunit
MRPS25	chr3	15065022	15081820	18	mitochondrial ribosomal protein S25	0003735	structural constituent of ribosome
MRPS27	chr5	71550991	71651840	18	mitochondrial ribosomal protein S27	0005840	ribosome
MRPS5	chr2	95116678	95151481	18	mitochondrial ribosomal protein S5	0005515	protein binding
SLC5A3				18	solute carrier family 5 (sodium/myo-inositol cotransporter), member 3
MRRF	chr9	124066967	124125563	18	mitochondrial ribosome recycling factor	0032790	ribosome disassembly
MSH6	chr2	47863724	47887596	18	mutS homolog 6 (E. coli)	0009411	response to UV
MSI2	chr17	52688929	53112298	18	musashi homolog 2 (Drosophila)	0000166	nucleotide binding
MSL1	chr17	35532315	35546568	18	male-specific lethal 1 homolog (Drosophila)	0043984	histone H4-K16 acetylation
MSL2	chr3	137350449	137396000	18	male-specific lethal 2 homolog (Drosophila)	0005515	protein binding
MSN	chrX	64804235	64878518	18	moesin	0005856	cytoskeleton
MSTO1	chr1	153846630	153851382	18	misato homolog 1 (Drosophila)	0043234	protein complex
MTA2	chr11	62117250	62125879	18	metastasis associated 1 family, member 2	0016581	NuRD complex
MTAP	chr9	21792634	21855969	18	methylthioadenosine phosphorylase	NOT
MTCH1	chr6	37043894	37061927	18	mitochondrial carrier homolog 1 (C. elegans)	0006919	activation of caspase activity
MTCH2	chr11	47595433	47620782	18	mitochondrial carrier homolog 2 (C. elegans)	0005743	mitochondrial inner membrane
MTDH	chr8	98725582	98811664	18	metadherin	0048471	perinuclear region of cytoplasm
MTERFD2	chr2	241675181	241690397	18	MTERF domain containing 2
MTF1	chr1	38047825	38097879	18	metal-regulatory transcription factor 1	0006357	regulation of transcription from RNA polymerase II promoter
MTF2	chr1	93317379	93377226	18	metal response element binding transcription factor 2	0003677	DNA binding
MTG1	chr10	135057610	135084164	18	mitochondrial GTPase 1 homolog (S. cerevisiae)	0005739	mitochondrion
MTHFD1	chr14	63924511	63996478	18	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	0006164	purine nucleotide biosynthetic process
MTHFD2	chr2	74279197	74295932	18	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	0046653	tetrahydrofolate metabolic process
MTIF2	chr2	55317259	55349819	18	mitochondrial translational initiation factor 2	0000166	nucleotide binding
MTIF3	chr13	26907780	26922711	18	mitochondrial translational initiation factor 3	0043024	ribosomal small subunit binding
MTMR14	chr3	9666143	9719077	18	myotubularin related protein 14	0004725	protein tyrosine phosphatase activity
MTMR3	chr22	28609157	28756857	18	myotubularin related protein 3	NOT
MTMR4	chr17	53921891	53950250	18	myotubularin related protein 4	0016787	hydrolase activity
MTR	chr1	235025203	235133904	18	5-methyltetrahydrofolate-homocysteine methyltransferase	0005515	protein binding
MTSS1	chr8	125632209	125809911	18	metastasis suppressor 1	0046847	filopodium assembly
MUL1	chr1	20698527	20707261	18	mitochondrial E3 ubiquitin ligase 1	0007257	activation of JUN kinase activity
MUM1	chr19	1305975	1329430	18	melanoma associated antigen (mutated) 1	0006281	DNA repair
MUT	chr6	49506949	49538990	18	methylmalonyl Coenzyme A mutase	0031419	cobalamin binding
MVP	chr16	29739287	29766842	18	major vault protein	0005737	cytoplasm
MX1	chr21	41714389	41753011	18	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	0000166	nucleotide binding
MXD4	chr4	2218957	2233537	18	MAX dimerization protein 4	0008285	negative regulation of cell proliferation
MYBBP1A	chr17	4388939	4405430	18	MYB binding protein (P160) 1a	0042564	NLS-dependent protein nuclear import complex
MYBL2	chr20	41729122	41778536	18	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	0003677	DNA binding
MYCBP2	chr13	76516792	76799178	18	MYC binding protein 2	0046872	metal ion binding
MYD88	chr3	38154972	38159516	18	myeloid differentiation primary response gene (88)	0005123	death receptor binding
MYH10	chr17	8318254	8474761	18	myosin, heavy chain 10, non-muscle	0003779	actin binding
MYH9	chr22	35007268	35114009	18	myosin, heavy chain 9, non-muscle	0005737	cytoplasm
MYL12A	chr18	3237527	3246234	18	myosin, light chain 12A, regulatory, non-sarcomeric	0003774	motor activity
MYL12B	chr18	3252110	3268282	18	myosin, light chain 12B, regulatory	0016459	myosin complex
MYL6	chr12	54838366	54841633	18	myosin, light chain 6, alkali, smooth muscle and non-muscle	0006936	muscle contraction
MYO18A	chr17	24424653	24531533	18	myosin XVIIIA	0006916	anti-apoptosis
MYO19	chr17	31925711	31964837	18	myosin XIX	0005524	ATP binding
MYO1C	chr17	1314229	1342751	18	myosin IC	0015031	protein transport
MYO1D	chr17	27843740	28228015	18	myosin ID	0005516	calmodulin binding
MYST2	chr17	45221069	45261457	18	MYST histone acetyltransferase 2	0005654	nucleoplasm
MYST3	chr8	41906153	42028662	18	MYST histone acetyltransferase (monocytic leukemia) 3	0005634	nucleus
N-PAC	chr16	4793204	4837304	18	cytokine-like nuclear factor n-pac
N4BP1	chr16	47130137	47201621	18	NEDD4 binding protein 1	0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process
N4BP2L2	chr13	31904929	32010936	18	NEDD4 binding protein 2-like 2	0003674	molecular_function
NAB2	chr12	55768943	55775526	18	NGFI-A binding protein 2 (EGR1 binding protein 2)	0016564	transcription repressor activity
NACA	chr12	55392477	55405333	18	nascent polypeptide-associated complex alpha subunit	0003677	DNA binding
NADK	chr1	1672530	1699769	18	NAD kinase	0003951	NAD+ kinase activity
NAE1	chr16	65394281	65422380	18	NEDD8 activating enzyme E1 subunit 1	0005515	protein binding
NAGK	chr2	71148915	71159279	18	N-acetylglucosamine kinase	0006044	N-acetylglucosamine metabolic process
NAMPT	chr7	105675966	105712874	18	nicotinamide phosphoribosyltransferase	0016757	transferase activity, transferring glycosyl groups
NAP1L1	chr12	74724938	74765005	18	nucleosome assembly protein 1-like 1	0008284	positive regulation of cell proliferation
NAP1L4	chr11	2922235	2970183	18	nucleosome assembly protein 1-like 4	0005737	cytoplasm
NAPA	chr19	52682702	52710309	18	N-ethylmaleimide-sensitive factor attachment protein, alpha	0005829	cytosol
NAPG	chr18	10515872	10542766	18	N-ethylmaleimide-sensitive factor attachment protein, gamma	0005794	Golgi apparatus
NARF	chr17	78009348	78039432	18	nuclear prelamin A recognition factor	0005521	lamin binding
NARG1	chr4	140442125	140531385	18	NMDA receptor regulated 1
NARG2	chr15	58499099	58558636	18	NMDA receptor regulated 2	0005634	nucleus
NARS	chr18	53418891	53440175	18	asparaginyl-tRNA synthetase	0006418	tRNA aminoacylation for protein translation
NASP	chr1	45822303	45857154	18	nuclear autoantigenic sperm protein (histone-binding)	0007049	cell cycle
NAT10	chr11	34083686	34125034	18	N-acetyltransferase 10 (GCN5-related)	0003674	molecular_function
NAT13	chr3	114920530	114947786	18	N-acetyltransferase 13 (GCN5-related)
NAT15	chr16	3433668	3476964	18	N-acetyltransferase 15 (GCN5-related, putative)	0008152	metabolic process
NAT9	chr17	70278280	70284065	18	N-acetyltransferase 9 (GCN5-related, putative)	0008080	N-acetyltransferase activity
NBPF10	chr1	144004727	144080041	18	neuroblastoma breakpoint family, member 10	0005737	cytoplasm
NBPF14	chr1	146470265	146492472	18	neuroblastoma breakpoint family, member 14	0005737	cytoplasm
NBPF20	chr1	143326315	143540167	18	neuroblastoma breakpoint family, member 20	0005737	cytoplasm
NBR1	chr17	38576023	38719233	18	neighbor of BRCA1 gene 1	0005770	late endosome
NCAPG	chr4	17421622	17455585	18	non-SMC condensin I complex, subunit G	0000796	condensin complex
NCBP1	chr9	99435525	99475850	18	nuclear cap binding protein subunit 1, 80kDa	0006370	mRNA capping
NCBP2	chr3	198146669	198153861	18	nuclear cap binding protein subunit 2, 20kDa	0006408	snRNA export from nucleus
NCL	chr2	232027702	232037449	18	nucleolin	0030529	ribonucleoprotein complex
NCOA2	chr8	71186820	71478574	18	nuclear receptor coactivator 2	0030528	transcription regulator activity
NCOA3	chr20	45564063	45719021	18	nuclear receptor coactivator 3	0050681	androgen receptor binding
NCOA4	chr10	51235113	51260740	18	nuclear receptor coactivator 4	0005515	protein binding
NCOR1	chr17	15875982	16059570	18	nuclear receptor co-repressor 1	0005515	protein binding
NCOR2	chr12	123374913	123586102	18	nuclear receptor co-repressor 2	0005634	nucleus
NCSTN	chr1	158579686	158595366	18	nicastrin	0007219	Notch signaling pathway
NDE1	chr16	15644624	15727709	18	nudE nuclear distribution gene E homolog 1 (A. nidulans)	0005829	cytosol
NDEL1	chr17	8279903	8312206	18	nudE nuclear distribution gene E homolog (A. nidulans)-like 1	0000776	kinetochore
NDFIP1	chr5	141468507	141514192	18	Nedd4 family interacting protein 1	0043123	positive regulation of I-kappaB kinase/NF-kappaB cascade
NDRG1	chr8	134318595	134378729	18	N-myc downstream regulated 1	0005515	protein binding
NDRG2	chr14	20554761	20563775	18	NDRG family member 2	0003674	molecular_function
NDUFA10	chr2	240548828	240613471	18	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa	0008137	NADH dehydrogenase (ubiquinone) activity
NDUFA13	chr19	19487539	19500073	18	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13	0030262	apoptotic nuclear change
NDUFA4	chr7	10939339	10946338	18	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa	0022904	respiratory electron transport chain
NDUFA5	chr7	122968318	122985194	18	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa	0005739	mitochondrion
NDUFA6	chr22	40811475	40816834	18	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa	0005747	mitochondrial respiratory chain complex I
NDUFA7	chr19	8282233	8292280	18	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa	0006120	mitochondrial electron transport, NADH to ubiquinone
NDUFA8	chr9	123946158	123961919	18	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	0006120	mitochondrial electron transport, NADH to ubiquinone
NDUFAF3	chr3	49032911	49035930	18	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 3	0005743	mitochondrial inner membrane
NDUFB4	chr3	121797817	121803865	18	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa	0016020	membrane
NDUFC2	chr11	77457043	77468913	18	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa	0016021	integral to membrane
NDUFS3	chr11	47557137	47562691	18	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)	0005747	mitochondrial respiratory chain complex I
NDUFS5	chr1	39264592	39272874	18	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)	0005747	mitochondrial respiratory chain complex I
NDUFS7	chr19	1334882	1346588	18	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)	0008137	NADH dehydrogenase (ubiquinone) activity
NDUFV1	chr11	67130898	67136588	18	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	0006120	mitochondrial electron transport, NADH to ubiquinone
NECAP1	chr12	8126073	8141640	18	NECAP endocytosis associated 1	0015031	protein transport
NECAP2	chr1	16639753	16659171	18	NECAP endocytosis associated 2	0005905	coated pit
NEDD8	chr14	23755896	23771416	18	neural precursor cell expressed, developmentally down-regulated 8	0006464	protein modification process
NEK7	chr1	196392730	196558171	18	NIMA (never in mitosis gene a)-related kinase 7	0016740	transferase activity
NEK9	chr14	74618570	74663531	18	NIMA (never in mitosis gene a)- related kinase 9	0000166	nucleotide binding
NELF	chr9	139461843	139473607	18	nasal embryonic LHRH factor	0005886	plasma membrane
NET1	chr10	5444517	5490426	18	neuroepithelial cell transforming 1	0035023	regulation of Rho protein signal transduction
NEU1	chr6	31934807	31938688	18	sialidase 1 (lysosomal sialidase)	0005764	lysosome
NF1	chr17	26446120	26728821	18	neurofibromin 1	0043065	positive regulation of apoptosis
NFAT5	chr16	68156497	68296054	18	nuclear factor of activated T-cells 5, tonicity-responsive	0007165	signal transduction
NFATC3	chr16	66676875	66818338	18	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	0003677	DNA binding
NFE2L1	chr17	43480684	43493906	18	nuclear factor (erythroid-derived 2)-like 1	0006355	regulation of transcription, DNA-dependent
NFE2L2	chr2	177803278	177836863	18	nuclear factor (erythroid-derived 2)-like 2	0030968	endoplasmic reticulum unfolded protein response
NFIA	chr1	61315533	61701048	18	nuclear factor I/A	0005634	nucleus
NFIC	chr19	3310615	3414603	18	nuclear factor I/C (CCAAT-binding transcription factor)	0006366	transcription from RNA polymerase II promoter
NFKB1	chr4	103641517	103757507	18	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	0005515	protein binding
NFS1	chr20	33720024	33750688	18	NFS1 nitrogen fixation 1 homolog (S. cerevisiae)	0005829	cytosol
NFX1	chr9	33280509	33361155	18	nuclear transcription factor, X-box binding 1	0016874	ligase activity
NFYA	chr6	41148684	41178124	18	nuclear transcription factor Y, alpha	0005634	nucleus
NFYC	chr1	40929828	41009862	18	nuclear transcription factor Y, gamma	0045893	positive regulation of transcription, DNA-dependent
NGDN	chr14	23008737	23017242	18	neuroguidin, EIF4E binding protein	0005634	nucleus
NGLY1	chr3	25735438	25799993	18	N-glycanase 1	0005515	protein binding
NHLRC3	chr13	38510454	38522246	18	NHL repeat containing 3	0005576	extracellular region
NHP2L1	chr22	40399882	40414859	18	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	0003723	RNA binding
NIN	chr14	50256230	50367589	18	ninein (GSK3B interacting protein)	0005509	calcium ion binding
NIP30	chr16	55743878	55777477	18	NEFA-interacting nuclear protein NIP30
NIPA2	chr15	20556787	20585849	18	non imprinted in Prader-Willi/Angelman syndrome 2	0005515	protein binding
NIPAL3	chr1	24614831	24672060	18	NIPA-like domain containing 3	0016021	integral to membrane
NIPBL	chr5	36912617	37101678	18	Nipped-B homolog (Drosophila)	0034088	maintenance of mitotic sister chromatid cohesion
NIPSNAP1	chr22	28280797	28307144	18	nipsnap homolog 1 (C. elegans)	0005743	mitochondrial inner membrane
NISCH	chr3	52464563	52502128	18	nischarin	0004872	receptor activity
NIT2	chr3	101536251	101557168	18	nitrilase family, member 2	0008150	biological_process
NKIRAS2	chr17	37423119	37431182	18	NFKB inhibitor interacting Ras-like 2	0007264	small GTPase mediated signal transduction
NKTR	chr3	42617150	42665237	18	natural killer-tumor recognition sequence	0006457	protein folding
NLE1	chr17	30482480	30493435	18	notchless homolog 1 (Drosophila)	0001826	inner cell mass cell differentiation
NLRP1	chr17	5345442	5428556	18	NLR family, pyrin domain containing 1	0006919	activation of caspase activity
NME1-NME2|NME2				18	non-metastatic cells 1, protein (NM23A) expressed in|non-metastatic cells 2, protein (NM23B) expressed in
NMT1	chr17	40494205	40541908	18	N-myristoyltransferase 1	0003824	catalytic activity
NOB1	chr16	68333274	68346330	18	NIN1/RPN12 binding protein 1 homolog (S. cerevisiae)	0005634	nucleus
NOC2L	chr1	869445	884542	18	nucleolar complex associated 2 homolog (S. cerevisiae)	0005515	protein binding
NOL7	chr6	13723537	13729106	18	nucleolar protein 7, 27kDa	0005739	mitochondrion
NOL8	chr9	94099460	94127697	18	nucleolar protein 8	0006260	DNA replication
NOLC1	chr10	103901922	103913617	18	nucleolar and coiled-body phosphoprotein 1	0005634	nucleus
NOMO1	chr16	14835143	14897515	18	NODAL modulator 1	0008150	biological_process
NOMO2	chr16	18418682	18480935	18	NODAL modulator 2	0005515	protein binding
NONO	chrX	70419766	70437743	18	non-POU domain containing, octamer-binding	0006310	DNA recombination
NOP2	chr12	6536297	6547741	18	NOP2 nucleolar protein homolog (yeast)	0005515	protein binding
NOP56	chr20	2581253	2587039	18	NOP56 ribonucleoprotein homolog (yeast)	0005634	nucleus
NOTCH1	chr9	138508716	138560059	18	Notch homolog 1, translocation-associated (Drosophila)	0016021	integral to membrane
NOTCH2	chr1	120255698	120413799	18	Notch homolog 2 (Drosophila)	0005887	integral to plasma membrane
NPC2	chr14	74016395	74029837	18	Niemann-Pick disease, type C2	0019747	regulation of isoprenoid metabolic process
NPEPPS	chr17	42963442	43055641	18	aminopeptidase puromycin sensitive	0005737	cytoplasm
NPIPL3	chr16	21320950	21344159	18	nuclear pore complex interacting protein-like 3	0003674	molecular_function
NPLOC4	chr17	77134356	77214543	18	nuclear protein localization 4 homolog (S. cerevisiae)	0007030	Golgi organization
NPM1	chr5	170747402	170766336	18	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	0005515	protein binding
NR1D2	chr3	23961754	23997113	18	nuclear receptor subfamily 1, group D, member 2	0004879	ligand-dependent nuclear receptor activity
NR1H2	chr19	55571496	55578079	18	nuclear receptor subfamily 1, group H, member 2	0010884	positive regulation of lipid storage
NR2C2	chr3	14964239	15065784	18	nuclear receptor subfamily 2, group C, member 2	0045944	positive regulation of transcription from RNA polymerase II promoter
NR3C1	chr5	142637688	142763447	18	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	0051789	response to protein stimulus
NR4A1	chr12	50731457	50739554	18	nuclear receptor subfamily 4, group A, member 1	0010467	gene expression
NRBP1	chr2	27504976	27518628	18	nuclear receptor binding protein 1	0042803	protein homodimerization activity
NRD1	chr1	52027453	52117197	18	nardilysin (N-arginine dibasic convertase)	0005829	cytosol
NSMCE1	chr16	27143815	27187614	18	non-SMC element 1 homolog (S. cerevisiae)	0006281	DNA repair
NSUN2	chr5	6652351	6686157	18	NOL1/NOP2/Sun domain family, member 2	0016428	tRNA (cytosine-5-)-methyltransferase activity
NSUN5B	chr7	74877581	74884001	18	NOL1/NOP2/Sun domain family, member 5B
NSUN5C	chr7	72056767	72063222	18	NOL1/NOP2/Sun domain family, member 5C
NT5C2	chr10	104835929	104943046	18	5'-nucleotidase, cytosolic II	0005515	protein binding
NT5C3	chr7	33020266	33068934	18	5'-nucleotidase, cytosolic III	0006213	pyrimidine nucleoside metabolic process
NT5DC1	chr6	116528691	116673546	18	5'-nucleotidase domain containing 1	0046872	metal ion binding
NT5E	chr6	86216020	86262217	18	5'-nucleotidase, ecto (CD73)	0006195	purine nucleotide catabolic process
NUCB1	chr19	54095852	54118339	18	nucleobindin 1	0005615	extracellular space
NUCKS1	chr1	203948569	203985984	18	nuclear casein kinase and cyclin-dependent kinase substrate 1	0005634	nucleus
NUDC	chr1	27120810	27145474	18	nuclear distribution gene C homolog (A. nidulans)	0005654	nucleoplasm
NUDCD3	chr7	44388489	44496910	18	NudC domain containing 3
NUDT21	chr16	55020548	55042762	18	nudix (nucleoside diphosphate linked moiety X)-type motif 21	0006397	mRNA processing
NUDT22	chr11	63750313	63754064	18	nudix (nucleoside diphosphate linked moiety X)-type motif 22
NUDT3	chr6	34363974	34468419	18	nudix (nucleoside diphosphate linked moiety X)-type motif 3	0015961	diadenosine polyphosphate catabolic process
NUDT4	chr12	92295831	92321155	18	nudix (nucleoside diphosphate linked moiety X)-type motif 4	0008486	diphosphoinositol-polyphosphate diphosphatase activity
NUDT5	chr10	12249578	12278149	18	nudix (nucleoside diphosphate linked moiety X)-type motif 5	0019144	ADP-sugar diphosphatase activity
NUMA1	chr11	71391558	71469221	18	nuclear mitotic apparatus protein 1	0005829	cytosol
NUP153	chr6	17723247	17814797	18	nucleoporin 153kDa	0005215	transporter activity
NUP160	chr11	47756245	47826633	18	nucleoporin 160kDa	0005515	protein binding
NUP43	chr6	150087149	150109381	18	nucleoporin 43kDa	colocalizes
NUP50	chr22	43938389	43962554	18	nucleoporin 50kDa	0015031	protein transport
NUP85	chr17	70713191	70743449	18	nucleoporin 85kDa	0005515	protein binding
NUP88	chr17	5230143	5263720	18	nucleoporin 88kDa	0051028	mRNA transport
NUSAP1	chr15	39412217	39460540	18	nucleolar and spindle associated protein 1	0005730	nucleolus
NUTF2	chr16	66438319	66462720	18	nuclear transport factor 2	0005515	protein binding
NXF1	chr11	62316173	62329540	18	nuclear RNA export factor 1	0000166	nucleotide binding
OAT	chr10	126075861	126097509	18	ornithine aminotransferase (gyrate atrophy)	0016740	transferase activity
OBFC1	chr10	105627307	105668035	18	oligonucleotide/oligosaccharide-binding fold containing 1	0000784	nuclear chromosome, telomeric region
OCIAD1	chr4	48527771	48558589	18	OCIA domain containing 1	0005515	protein binding
ODC1	chr2	10497958	10505904	18	ornithine decarboxylase 1	0006521	regulation of cellular amino acid metabolic process
OFD1	chrX	13662752	13697401	18	oral-facial-digital syndrome 1	NOT
OGDH	chr7	44612695	44682720	18	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	0031966	mitochondrial membrane
OGFOD1	chr16	55042924	55068908	18	2-oxoglutarate and iron-dependent oxygenase domain containing 1	0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
OGT	chrX	70669657	70712465	18	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	0005515	protein binding
OLA1	chr2	174645420	174821611	18	Obg-like ATPase 1	0005525	GTP binding
OPA1	chr3	194793626	194898294	18	optic atrophy 1 (autosomal dominant)	0003924	GTPase activity
ORAI2	chr7	101861000	101884273	18	ORAI calcium release-activated calcium modulator 2	0005515	protein binding
ORC3L	chr6	88356561	88433887	18	origin recognition complex, subunit 3-like (yeast)	0005654	nucleoplasm
ORC4L	chr2	148408201	148494789	18	origin recognition complex, subunit 4-like (yeast)	0005634	nucleus
ORMDL1	chr2	190343237	190357342	18	ORM1-like 1 (S. cerevisiae)	0016021	integral to membrane
ORMDL3	chr17	35330821	35337380	18	ORM1-like 3 (S. cerevisiae)	0005783	endoplasmic reticulum
OS9	chr12	56374152	56401607	18	osteosarcoma amplified 9, endoplasmic reticulum associated protein	0005515	protein binding
OSBP	chr11	59098446	59140193	18	oxysterol binding protein	0008289	lipid binding
OSBPL11	chr3	126730391	126797071	18	oxysterol binding protein-like 11	0006869	lipid transport
OSBPL2	chr20	60246974	60304664	18	oxysterol binding protein-like 2	0008202	steroid metabolic process
OSBPL9	chr1	51855351	52026726	18	oxysterol binding protein-like 9	0008202	steroid metabolic process
OSTC	chr4	109791189	109808429	18	oligosaccharyltransferase complex subunit	0018279	protein amino acid N-linked glycosylation via asparagine
OTUB1	chr11	63509900	63522468	18	OTU domain, ubiquitin aldehyde binding 1	0019784	NEDD8-specific protease activity
OTUD5	chrX	48664246	48699837	18	OTU domain containing 5	0008234	cysteine-type peptidase activity
OXA1L	chr14	22305570	22310838	18	oxidase (cytochrome c) assembly 1-like	0003674	molecular_function
OXCT1	chr5	41765923	41906548	18	3-oxoacid CoA transferase 1	0008260	3-oxoacid CoA-transferase activity
OXR1	chr8	107351648	107834097	18	oxidation resistance 1	0005575	cellular_component
OXSR1	chr3	38182029	38271983	18	oxidative-stress responsive 1	0006468	protein amino acid phosphorylation
P4HB	chr17	77394322	77411833	18	prolyl 4-hydroxylase, beta polypeptide	0016853	isomerase activity
P4HTM	chr3	49002344	49019585	18	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)	0005509	calcium ion binding
PA2G4	chr12	54784369	54793961	18	proliferation-associated 2G4, 38kDa	0006417	regulation of translation
PABPC1	chr8	101784319	101803491	18	poly(A) binding protein, cytoplasmic 1	0010467	gene expression
PABPC1L	chr20	42972116	43001376	18	poly(A) binding protein, cytoplasmic 1-like	0000166	nucleotide binding
PABPC4	chr1	39799071	39815108	18	poly(A) binding protein, cytoplasmic 4 (inducible form)	0007596	blood coagulation
PABPN1	chr14	22859236	22865209	18	poly(A) binding protein, nuclear 1	0000398	nuclear mRNA splicing, via spliceosome
PACS1	chr11	65594399	65768789	18	phosphofurin acidic cluster sorting protein 1	0005794	Golgi apparatus
PACS2	chr14	104852125	104935529	18	phosphofurin acidic cluster sorting protein 2	0005788	endoplasmic reticulum lumen
PAF1	chr19	44568109	44573519	18	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	0010390	histone monoubiquitination
PAFAH1B1	chr17	2443672	2535659	18	platelet-activating factor acetylhydrolase, isoform Ib, subunit 1 (45kDa)	0005875	microtubule associated complex
PAFAH1B2	chr11	116520249	116544024	18	platelet-activating factor acetylhydrolase, isoform Ib, subunit 2 (30kDa)	0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity
PAICS	chr4	56996671	57022291	18	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	0004638	phosphoribosylaminoimidazole carboxylase activity
PAK2	chr3	197951124	198043915	18	p21 protein (Cdc42/Rac)-activated kinase 2	0005515	protein binding
PALLD	chr4	169654791	170086183	18	palladin, cytoskeletal associated protein	0005515	protein binding
PANK3	chr5	167915207	167939166	18	pantothenate kinase 3	0015937	coenzyme A biosynthetic process
PAPD4	chr5	78943998	79018227	18	PAP associated domain containing 4	0071044	histone mRNA catabolic process
PAPOLA	chr14	96038472	96103201	18	poly(A) polymerase alpha	0006378	mRNA polyadenylation
PAPSS1	chr4	108754270	108860868	18	3'-phosphoadenosine 5'-phosphosulfate synthase 1	0000166	nucleotide binding
PARK7	chr1	7944300	7967929	18	Parkinson disease (autosomal recessive, early onset) 7	0005737	cytoplasm
PARN	chr16	14437058	14631621	18	poly(A)-specific ribonuclease (deadenylation nuclease)	0003723	RNA binding
PARP1	chr1	224615014	224662424	18	poly (ADP-ribose) polymerase 1	0005515	protein binding
PARP6	chr15	70320575	70350682	18	poly (ADP-ribose) polymerase family, member 6	0016757	transferase activity, transferring glycosyl groups
PATZ1	chr22	30051789	30072249	18	POZ (BTB) and AT hook containing zinc finger 1	0016563	transcription activator activity
PBRM1	chr3	52554407	52688779	18	polybromo 1	0006338	chromatin remodeling
PBXIP1	chr1	153183182	153195191	18	pre-B-cell leukemia homeobox interacting protein 1	0007275	multicellular organismal development
PCBP1	chr2	70168088	70169838	18	poly(rC) binding protein 1	0005737	cytoplasm
PCBP2	chr12	52132152	52161213	18	poly(rC) binding protein 2	0050687	negative regulation of defense response to virus
PCBP4	chr3	51966513	51970692	18	poly(rC) binding protein 4	0003723	RNA binding
PCCB	chr3	137451856	137531701	18	propionyl Coenzyme A carboxylase, beta polypeptide	0005524	ATP binding
